indice,b_scipy_float64,b_cmsis_float32_equivalente
0,-1.28302734679175222e-04,-1.28302737721242011e-04
1,-1.22023050224459554e-04,-1.22023047879338264e-04
2,-1.03798917850999819e-04,-1.03798920463304967e-04
3,-7.54142624439320310e-05,-7.54142602090723813e-05
4,-3.96475887241025035e-05,-3.96475879824720323e-05
5,6.09837083845822491e-18,6.09837086807372037e-18
6,3.96475156597945089e-05,3.96475152228958905e-05
7,7.54139844510852306e-05,7.54139837226830423e-05
8,1.03798343777992087e-04,1.03798345662653446e-04
9,1.22022150107216714e-04,1.22022152936551720e-04
10,1.28301551123947982e-04,1.28301544464193285e-04
11,1.22021899757109601e-04,1.22021898278035223e-04
12,1.03797917800561864e-04,1.03797916381154209e-04
13,7.54135201125998576e-05,7.54135180613957345e-05
14,3.96471900697108401e-05,3.96471914427820593e-05
15,-4.71392701141859127e-18,-4.71392694864984348e-18
16,-3.96470999083242844e-05,-3.96471004933118820e-05
17,-7.54131770760456036e-05,-7.54131760913878679e-05
18,-1.03797209431271569e-04,-1.03797210613265634e-04
19,-1.22020789120838200e-04,-1.22020792332477868e-04
20,-1.28300090845016732e-04,-1.28300089272670448e-04
21,-1.22020482786282564e-04,-1.22020479466300458e-04
22,-1.03796688203967874e-04,-1.03796686744317412e-04
23,-7.54126089266717156e-05,-7.54126085666939616e-05
24,-3.96467015432773004e-05,-3.96467003156431019e-05
25,3.33040826665059250e-18,3.33040823074110715e-18
26,3.96465920651479660e-05,3.96465911762788892e-05
27,7.54121924024322998e-05,7.54121938371099532e-05
28,1.03795828105615417e-04,1.03795828181318939e-04
29,1.22019134307342901e-04,1.22019133414141834e-04
30,1.28298317931775766e-04,1.28298313939012587e-04
31,1.22018764957085044e-04,1.22018762340303510e-04
32,1.03795199666353240e-04,1.03795202448964119e-04
33,7.54115074060985967e-05,7.54115098970942199e-05
34,3.96461117875470938e-05,3.96461109630763531e-05
35,-1.94618037798650667e-18,-1.94618041225225974e-18
36,-3.96459806451177939e-05,-3.96459799958392978e-05
37,-7.54110084637093478e-05,-7.54110078560188413e-05
38,-1.03794169401940557e-04,-1.03794169262982905e-04
39,-1.22017149738132857e-04,-1.22017147077713162e-04
40,-1.28296194405857724e-04,-1.28296189359389246e-04
41,-1.22016709960372804e-04,-1.22016710520256311e-04
42,-1.03793421141293632e-04,-1.03793419839348644e-04
43,-7.54101928789857303e-05,-7.54101929487660527e-05
44,-3.96454088230540003e-05,-3.96454088331665844e-05
45,5.65004493961635020e-19,5.65004476633426724e-19
46,3.96452535500168424e-05,3.96452524000778794e-05
47,7.54096021362787541e-05,7.54096035961993039e-05
48,1.03792201341425139e-04,1.03792204754427075e-04
49,1.22014797642981803e-04,1.22014796943403780e-04
50,1.28293680369216125e-04,1.28293686429969966e-04
51,1.22014279677589858e-04,1.22014280350413173e-04
52,1.03791320057411912e-04,1.03791317087598145e-04
53,7.54086415760946534e-05,7.54086431697942317e-05
54,3.96445800991352269e-05,3.96445793739985675e-05
55,8.23781207485203565e-19,8.23781210428164439e-19
56,-3.96443981222754577e-05,-3.96443974750582129e-05
57,-7.54079492442603894e-05,-7.54079519538208842e-05
58,-1.03789890513352747e-04,-1.03789890999905765e-04
59,-1.22012038588145750e-04,-1.22012039355468005e-04
60,-1.28290734195927395e-04,-1.28290732391178608e-04
61,-1.22011434367548394e-04,-1.22011435450986028e-04
62,-1.03788862481016906e-04,-1.03788865089882165e-04
63,-7.54068287517560125e-05,-7.54068314563483000e-05
64,-3.96436125589571576e-05,-3.96436116716358811e-05
65,-2.19950326912988935e-18,-2.19950323407570563e-18
66,3.96434012129514589e-05,3.96434006688650697e-05
67,7.54060246916560170e-05,7.54060238250531256e-05
68,1.03787202260921391e-04,1.03787198895588517e-04
69,1.22008831699501764e-04,1.22008830658160150e-04
70,1.28287312771799630e-04,1.28287312691099942e-04
71,1.22008132899075318e-04,1.22008132166229188e-04
72,1.03786013318091407e-04,1.03786012914497405e-04
73,7.54047288336170734e-05,7.54047287045978010e-05
74,3.96424927198294798e-05,3.96424911741632968e-05
75,3.58475659739643899e-18,3.58475675652411880e-18
76,-3.96422492652721169e-05,-3.96422510675620288e-05
77,-7.54038026242763909e-05,-7.54038046579807997e-05
78,-1.03784100908526944e-04,-1.03784099337644875e-04
79,-1.22005134934767632e-04,-1.22005134471692145e-04
80,-1.28283371785989695e-04,-1.28283369122073054e-04
81,-1.22004333033525880e-04,-1.22004334116354585e-04
82,-1.03782736559045476e-04,-1.03782738733571023e-04
83,-7.54023156037110059e-05,-7.54023130866698921e-05
84,-3.96412067701188106e-05,-3.96412069676443934e-05
85,9.62595501254890333e-18,9.62595538220001155e-18
86,3.96409284149720509e-05,3.96409268432762474e-05
87,7.54012566241195293e-05,7.54012580728158355e-05
88,1.03780550033813295e-04,1.03780548670329154e-04
89,1.22000905408856461e-04,1.22000907140318304e-04
90,1.28278866078927577e-04,1.28278872580267489e-04
91,1.21999991761263170e-04,1.21999990369658917e-04
92,1.03778995569727604e-04,1.03778998891357332e-04
93,7.53995624133913585e-05,7.53995627746917307e-05
94,3.96397406840873578e-05,3.96397408621851355e-05
95,-8.23007844851704330e-18,-8.23007817234942671e-18
96,-3.96394246089798645e-05,-3.96394243580289185e-05
97,-7.53983599385265468e-05,-7.53983622416853905e-05
98,-1.03776512788151355e-04,-1.03776510513853282e-04
99,-1.21996099776531332e-04,-1.21996097732335329e-04
100,-1.28273750050931991e-04,-1.28273750306107104e-04
101,-1.21995065696278143e-04,-1.21995064546354115e-04
102,-1.03774753432252147e-04,-1.03774757008068264e-04
103,-7.53964424347086963e-05,-7.53964413888752460e-05
104,-3.96380803561034129e-05,-3.96380819438491017e-05
105,6.84897082575891218e-18,6.84897068592628246e-18
106,3.96377237435432050e-05,3.96377254219260067e-05
107,7.53950857468969611e-05,7.53950880607590079e-05
108,1.03771952269084950e-04,1.03771955764386803e-04
109,1.21990674676586032e-04,1.21990677143912762e-04
110,1.28267978135965097e-04,1.28267973195761442e-04
111,1.21989511533187052e-04,1.21989512990694493e-04
112,1.03769973339241402e-04,1.03769976703915745e-04
113,7.53929289509246733e-05,7.53929271013475955e-05
114,3.96362117553962967e-05,3.96362120227422565e-05
115,-5.45583702804180994e-18,-5.45583723416753602e-18
116,-3.96358118233845609e-05,-3.96358118450734764e-05
117,-7.53914074675269608e-05,-7.53914064262062311e-05
118,-1.03766831948382698e-04,-1.03766833490226418e-04
119,-1.21984587241822948e-04,-1.21984587167389691e-04
120,-1.28261505345021780e-04,-1.28261512145400047e-04
121,-1.21983286570883967e-04,-1.21983284770976752e-04
122,-1.03764619045176927e-04,-1.03764621599111706e-04
123,-7.53889956886339362e-05,-7.53889980842359364e-05
124,-3.96341211030266889e-05,-3.96341201849281788e-05
125,4.08713765374663135e-18,4.08713745693268718e-18
126,3.96336751431989679e-05,3.96336763515137136e-05
127,7.53872991072377047e-05,7.53872955101542175e-05
128,1.03761116159350474e-04,1.03761114587541670e-04
129,1.21977795679126795e-04,1.21977798698935658e-04
130,1.28254287883674211e-04,1.28254294395446777e-04
131,1.21976349307145992e-04,1.21976350783370435e-04
132,1.03758655378390248e-04,1.03758655313868076e-04
133,7.53846171943907238e-05,7.53846179577521980e-05
134,3.96317950722622394e-05,3.96317955164704472e-05
135,-2.67312808950770535e-18,-2.67312803446463370e-18
136,-3.96313004929066133e-05,-3.96313007513526827e-05
137,-7.53827356564531174e-05,-7.53827334847301245e-05
138,-1.03754770647066679e-04,-1.03754769952502102e-04
139,-1.21970259923938045e-04,-1.21970260806847364e-04
140,-1.28246283848297722e-04,-1.28246290842071176e-04
141,-1.21968660108520005e-04,-1.21968660096172243e-04
142,-1.03752048817524749e-04,-1.03752048744354397e-04
143,-7.53797692583192328e-05,-7.53797721699811518e-05
144,-3.96292210138393943e-05,-3.96292198274750262e-05
145,1.33338142266106057e-18,1.33338143982551908e-18
146,3.96286753880554534e-05,3.96286741306539625e-05
147,7.53776935323814874e-05,7.53776912461034954e-05
148,1.03747763185189709e-04,1.03747763205319643e-04
149,1.21961942373419337e-04,1.21961944387294352e-04
150,1.28237454005482798e-04,1.28237457829527557e-04
151,1.21960181959706855e-04,1.21960183605551720e-04
152,1.03744768135979250e-04,1.03744765510782599e-04
153,7.53744293874228079e-05,7.53744316170923412e-05
154,3.96263872074841442e-05,3.96263858419843018e-05
155,6.76885978793286077e-20,6.76885966531719956e-20
156,-3.96257883267597813e-05,-3.96257892134599388e-05
157,-7.53721510729319651e-05,-7.53721542423591018e-05
158,-1.03740064262965263e-04,-1.03740065242163837e-04
159,-1.21952808702535697e-04,-1.21952805784530938e-04
160,-1.28227762659095860e-04,-1.28227766253985465e-04
161,-1.21950881296769472e-04,-1.21950884931720793e-04
162,-1.03736785117985162e-04,-1.03736783785279840e-04
163,-7.53685773311900848e-05,-7.53685744712129235e-05
164,-3.96232831410641597e-05,-3.96232826460618526e-05
165,-1.41617163631968927e-18,-1.41617167258926710e-18
166,3.96226290745401276e-05,3.96226278098765761e-05
167,7.53660890839736333e-05,7.53660860937088728e-05
168,1.03731647845946932e-04,1.03731646959204227e-04
169,1.21942828767301103e-04,1.21942830446641892e-04
170,1.28217178609378883e-04,1.28217172459699214e-04
171,1.21940728928266842e-04,1.21940727694891393e-04
172,1.03728075349846514e-04,1.03728074464015663e-04
173,7.53621956620651102e-05,7.53621934563852847e-05
174,3.96198998187168464e-05,3.96198993257712573e-05
175,2.85008899952390928e-18,2.85008905765478743e-18
176,-3.96191889784063095e-05,-3.96191899199038744e-05
177,-7.53594914424081521e-05,-7.53594940761104226e-05
178,-1.03722492214051087e-04,-1.03722493804525584e-04
179,-1.21931977599194313e-04,-1.21931974717881531e-04
180,-1.28205676208382796e-04,-1.28205676446668804e-04
181,-1.21929701048412102e-04,-1.21929704619105905e-04
182,-1.03718619089798684e-04,-1.03718615719117224e-04
183,-7.53552704132834394e-05,-7.53552740206941962e-05
184,-3.96162300992668648e-05,-3.96162286051549017e-05
185,-4.22427346631136279e-18,-4.22427366273632226e-18
186,3.96154613114994229e-05,3.96154609916266054e-05
187,7.53523457577075191e-05,7.53523490857332945e-05
188,1.03712580880165921e-04,1.03712583950255066e-04
189,1.21920236494788865e-04,1.21920238598249853e-04
190,1.28193236515899934e-04,1.28193234559148550e-04
191,1.21917780346200992e-04,1.21917779324576259e-04
192,1.03708402219832626e-04,1.03708400274626911e-04
193,7.53477917764987037e-05,7.53477943362668157e-05
194,3.96122690662012038e-05,3.96122704842127860e-05
195,-8.93703488033653773e-18,-8.93703470031277224e-18
196,-3.96114416494720842e-05,-3.96114410250447690e-05
197,-7.53446440940661841e-05,-7.53446438466198742e-05
198,-1.03701903592718337e-04,-1.03701902844477445e-04
199,-1.21907594204399169e-04,-1.21907592983916402e-04
200,-1.28179848559908314e-04,-1.28179846797138453e-04
201,-1.21904957214307225e-04,-1.21904959087260067e-04
202,-1.03697417282701970e-04,-1.03697420854587108e-04
203,-7.53397548615253429e-05,-7.53397544031031430e-05
204,-3.96080144304068792e-05,-3.96080140490084887e-05
205,7.61374055831713642e-18,7.61374093485249048e-18
206,3.96071282800180256e-05,3.96071300201583654e-05
207,7.53363837556290792e-05,7.53363856347277761e-05
208,1.03690457425269502e-04,1.03690457763150334e-04
209,1.21894048223405164e-04,1.21894045150838792e-04
210,1.28165510705348525e-04,1.28165513160638511e-04
211,1.21891231061363865e-04,1.21891229355242103e-04
212,1.03685664607172296e-04,1.03685662907082587e-04
213,7.53311605203970649e-05,7.53311614971607924e-05
214,3.96034669669085345e-05,3.96034665754996240e-05
215,-6.24068981687838131e-18,-6.24068977400530644e-18
216,-3.96025226464187156e-05,-3.96025243389885873e-05
217,-7.53275681368817298e-05,-7.53275671740993857e-05
218,-1.03678247956104927e-04,-1.03678248706273735e-04
219,-1.21879606189703594e-04,-1.21879609650932252e-04
220,-1.28150232134842081e-04,-1.28150233649648726e-04
221,-1.21876611731033772e-04,-1.21876611956395209e-04
222,-1.03673153524383332e-04,-1.03673155535943806e-04
223,-7.53220162378880092e-05,-7.53220156184397638e-05
224,-3.95986309864835789e-05,-3.95986317016649991e-05
225,4.88727191105829103e-18,4.88727174499706851e-18
226,3.95976298263807334e-05,3.95976312574930489e-05
227,7.53182076402343924e-05,7.53182102926075459e-05
228,1.03665290540571871e-04,1.03665290225762874e-04
229,1.21864287390503618e-04,1.21864286484196782e-04
230,1.28134034444700391e-04,1.28134037367999554e-04
231,1.21861121031032260e-04,1.21861121442634612e-04
232,1.03659903678042070e-04,1.03659906017128378e-04
233,7.53123370902440779e-05,7.53123385948128998e-05
234,3.95935148434334346e-05,3.95935130654834211e-05
235,-3.43530702777047130e-18,-3.43530693332686622e-18
236,-3.95924590470685963e-05,-3.95924580516293645e-05
237,-7.53083206626541763e-05,-7.53083222662098706e-05
238,-1.03651611678698294e-04,-1.03651611425448209e-04
239,-1.21848124381411071e-04,-1.21848126582335681e-04
240,-1.28116953359298466e-04,-1.28116953419521451e-04
241,-1.21844794375015319e-04,-1.21844794193748385e-04
242,-1.03645946430756168e-04,-1.03645943454466760e-04
243,-7.53021467741076705e-05,-7.53021449781954288e-05
244,-3.95881314802149002e-05,-3.95881324948277324e-05
245,2.18250801805494312e-18,2.18250798121019113e-18
246,3.95870242372347157e-05,3.95870229112915695e-05
247,7.52979346530224385e-05,7.52979321987368166e-05
248,1.03637250480369923e-04,1.03637248685117811e-04
249,1.21831164720452874e-04,1.21831166325137019e-04
250,1.28099040566559261e-04,1.28099040011875331e-04
251,1.21827682539853965e-04,1.21827681141439825e-04
252,1.03631326368845291e-04,1.03631326055619866e-04
253,7.52914787070198466e-05,7.52914784243330359e-05
254,3.95824990098195715e-05,3.95824972656555474e-05
255,-6.31863359247296530e-19,-6.31863365895768284e-19
256,-3.95813446172352536e-05,-3.95813440263736993e-05
257,-7.52870872416900000e-05,-7.52870837459340692e-05
258,-1.03622260230068077e-04,-1.03622260212432593e-04
259,-1.21813472819359058e-04,-1.21813471196219325e-04
260,-1.28080365676952674e-04,-1.28080369904637337e-04
261,-1.21809853540627363e-04,-1.21809855045285076e-04
262,-1.03616102907386570e-04,-1.03616104752290994e-04
263,-7.52803772009103694e-05,-7.52803753130137920e-05
264,-3.95766413365869480e-05,-3.95766401197761297e-05
265,-7.03794404553062884e-19,-7.03794423276708440e-19
266,3.95754453275993135e-05,3.95754468627274036e-05
267,7.52758274434846476e-05,7.52758278395049274e-05
268,1.03606710052866869e-04,1.03606711491011083e-04
269,1.21795131914030760e-04,1.21795128507073969e-04
270,1.28061018308016025e-04,1.28061015857383609e-04
271,1.21791394625145116e-04,1.21791395940817893e-04
272,1.03600351997103243e-04,1.03600352304056287e-04
273,7.52688987096786823e-05,7.52689011278562248e-05
274,3.95705888160167055e-05,3.95705901610199362e-05
275,2.22133711052082638e-18,2.22133707993434908e-18
276,-3.95693580967018479e-05,-3.95693568862043321e-05
277,-7.52642169351917643e-05,-7.52642154111526906e-05
278,-1.03590686682998267e-04,-1.03590689832344651e-04
279,-1.21776246155812999e-04,-1.21776247397065163e-04
280,-1.28041110295992489e-04,-1.28041108837351203e-04
281,-1.21772414389494628e-04,-1.21772412967402488e-04
282,-1.03584167934307793e-04,-1.03584170574322343e-04
283,-7.52571131517179771e-05,-7.52571140765212476e-05
284,-3.95643789540223531e-05,-3.95643801311962306e-05
285,-3.39755763337669248e-18,-3.39755771889239624e-18
286,3.95631219479550982e-05,3.95631213905289769e-05
287,7.52523314081920443e-05,7.52523337723687291e-05
288,1.03574296336104535e-04,1.03574297099839896e-04
289,1.21756942824609960e-04,1.21756944281514734e-04
290,1.28020778035717461e-04,1.28020779811777174e-04
291,1.21753045015646346e-04,1.21753044368233532e-04
292,1.03567665274736904e-04,1.03567668702453375e-04
293,7.52451053079705300e-05,7.52451087464578450e-05
294,3.95580571459121645e-05,3.95580573240295053e-05
295,-9.78785968907541962e-18,-9.78785944349501566e-18
296,-3.95567839467050156e-05,-3.95567840314470232e-05
297,-7.52402619968941280e-05,-7.52402629586867988e-05
298,-1.03557666685616880e-04,-1.03557664260733873e-04
299,-1.21737374664568430e-04,-1.21737371955532581e-04
300,-1.28000184949404310e-04,-1.28000188851729035e-04
301,-1.21733444631680034e-04,-1.21733442938420922e-04
302,-1.03550980851722634e-04,-1.03550977655686438e-04
303,-7.52329762957991015e-05,-7.52329797251150012e-05
304,-3.95516774552392194e-05,-3.95516763092018664e-05
305,8.51346323929248281e-18,8.51346363276519357e-18
306,3.95503999871364969e-05,3.95503993786405772e-05
307,7.52281167829005348e-05,7.52281193854287267e-05
308,1.03540948943565966e-04,1.03540951386094093e-04
309,1.21717722342477527e-04,1.21717719594016671e-04
310,1.27979524084444939e-04,1.27979525132104754e-04
311,1.21713799794700105e-04,1.21713797852862626e-04
312,1.03534275898707026e-04,1.03534279332961887e-04
313,7.52208451186546923e-05,7.52208434278145432e-05
314,3.95453034324716148e-05,3.95453025703318417e-05
315,-6.92351769748306395e-18,-6.92351785709078642e-18
